Id;DriverId;UserId;Departure;Destination;CreateDate;UpdateDate;PlateNo;Price;DepLatitude;DepLongitude;DesLatitude;DesLongitude;TripsStatus;CancelUser;tripStarted
4577;57;143;Uzunçiftlik Hürriyet, Oguz Sk. No:24, 41250 Kartepe/Kocaeli, Türkiye;Alikahya Atatürk, Unnamed Road, 41310 Izmit/Kocaeli, Türkiye;2020-08-26 17:06:25.277000000;2020-08-26 17:16:56.760000000;41T4022 ;30;40,759728;30,031129;40,78084;30,037173;True;False;True
4578;58;144;Ulus, Tugra Sk. No:26, 41250 Kartepe/Kocaeli, Türkiye;Pasadag Mh., Ulus Cd. No:117, 41190 Basiskele/Kocaeli, Türkiye;2020-08-26 17:07:04.967000000;2020-08-26 17:25:13.743000000;41T4080 ;62,5;40,756635;30,026208;40,808738;30,039061;True;False;True
4579;61;147;Cumhuriyet, Güvenli Sk. No:18, 41250 Kartepe/Kocaeli, Türkiye;Bayraktar, Papatya Sk., 41000 Izmit/Kocaeli, Türkiye;2020-08-26 17:07:49.797000000;2020-08-26 17:23:41.163000000;41T4087 ;25;40,76127;30,026846;40,778609;30,063832;True;False;True
4580;37;148;Uzunçiftlik Hürriyet, Sögütler Sk. No:12, 41250 Kartepe/Kocaeli, Türkiye;Gedikli, Unnamed Road, 41001 Izmit/Kocaeli, Türkiye;2020-08-26 17:10:34.113000000;2020-08-26 17:28:46.790000000;41T4007 ;45;40,756027;30,029702;40,816612;30,105473;True;False;True
4581;38;150;Uzunçiftlik Hürriyet, Ersin Sk. No:20, 41250 Kartepe/Kocaeli, Türkiye;Balören Mh., Balören Köyü Yolu No:10, 41001 Izmit/Kocaeli, Türkiye;2020-08-26 17:11:14.350000000;2020-08-26 17:43:46.753000000;41T4065 ;110;40,761195;30,030526;40,847843;30,107498;True;False;True
4582;41;151;Uzunçiftlik Hürriyet, Ersin Sk. No:14, 41250 Kartepe/Kocaeli, Türkiye;Orhaniye, 41001 Izmit/Kocaeli, Türkiye;2020-08-26 17:12:51.087000000;2020-08-26 17:39:58.123000000;41T4103 ;90;40,760718;30,030448;40,839337;30,067881;True;False;True
4583;46;154;Uzunçiftlik Hürriyet, Damlar Sk. No:7, 41250 Kartepe/Kocaeli, Türkiye;Ketenciler, 41250 Kartepe/Kocaeli, Türkiye;2020-08-26 17:14:12.993000000;2020-08-26 17:24:40.160000000;41T4085 ;41,5;40,759862;30,026695;40,768194;30,12217;True;False;True
4584;47;155;Yavuz Ozer Cad 1-2 Sepetlipinar Mah. Basiskele;Feza Sokak 11 Sepetlipinar Mah. Basiskele;2020-08-26 17:14:44.463000000;2020-08-26 17:17:27.123000000;41T4032 ;12;40,708199;29,878375;40,709865;29,881845;True;False;True
4585;48;157;Uzunçiftlik Hürriyet, Maresal Fevzi Çakmak Cd. No:11, 41250 Kartepe/Kocaeli, Türkiye;Uzunbey, Unnamed Road, 41180 Kartepe/Kocaeli, Türkiye;2020-08-26 17:16:32.703000000;2020-08-26 17:27:51.250000000;41T4011 ;24;40,756185;30,030634;40,767877;30,040334;True;False;True
4586;49;158;Sehit Turgut Çiçek Caddesi, Meridyen Elite Sitesi, B1 Blok, Daire 2, Dumlupinar, 41250 Kartepe/Kocaeli, Türkiye;Dogantepe Mh., Kanal Sk. No:35, 41090 Basiskele/Kocaeli, Türkiye;2020-08-26 17:18:25.483000000;2020-08-26 17:37:44.483000000;41T4061 ;44;40,761797;30,026467;40,695008;29,992884;True;False;True
4587;50;159;Camili Sokak 11/2 Sepetlipinar Mah. Basiskele;Sanayi Caddesi 31 Sepetlipinar Mah. Basiskele;2020-08-26 17:19:01.627000000;2020-08-26 17:23:43.157000000;41T4027 ;12;40,715651;29,875547;40,709952;29,87686;True;False;True
4588;51;160;Osman Senol Caddesi 20–22 Sepetlipinar Mah. Basiskele;Sanayi Caddesi 63 Sepetlipinar Mah. Basiskele;2020-08-26 17:19:20.753000000;2020-08-26 17:24:57.467000000;41T4108 ;12;40,714236;29,880141;40,709817;29,875053;True;False;True
4589;52;161;Gençaga Sokak 7 Kullar Yakacik Mah. Basiskele;Cem Sultan Sokak 30 Fatih Sultan Mehmet Mah. Kartepe;2020-08-27 10:24:01.383000000;2020-08-27 10:40:46.430000000;41T4058 ;23;40,717769;29,979847;40,728769;30,016802;True;False;True
4591;53;162;Mehmet Akif Caddesi 41 Rahmiye Mah. Kartepe;Arif Nihat Asya Caddesi 10 Çiftlik Mah. Gölcük;2020-08-27 10:27:08.293000000;2020-08-27 10:56:43.720000000;41T4057 ;77;40,718131;30,016164;40,708884;29,844376;True;False;True
4594;54;135;Balören Sokak  Durhasan Mah. Izmit;Gedikli Mah. Izmit ;2020-08-27 10:38:53.920000000;2020-08-27 11:02:17.943000000;41T4024 ;123;40,798307;30,025956;40,742965;30,15001;True;False;True
4595;57;143;  Durhasan Mah. Izmit;Gedikli Mah. Izmit ;2020-08-27 11:02:56.647000000;2020-08-27 11:26:19.437000000;41T4022 ;50;40,7887;30,050136;40,826483;30,124199;True;False;True
4596;58;397;  Ovacik Mah. Basiskele;Beykoz Caddesi 69 Arslanbey Mah. Kartepe;2020-08-27 11:05:15.103000000;2020-08-27 11:21:43.643000000;41T4080 ;37;40,741369;29,985148;40,687239;30,031869;True;False;True
4598;61;144;  Rahmiye Mah. Kartepe;Beykoz Caddesi 87 Arslanbey Mah. Kartepe;2020-08-27 11:11:01.253000000;2020-08-27 11:24:40.020000000;41T4087 ;30;40,717348;30,000367;40,685584;30,030493;True;False;True
4600;37;147;Engin Sokak 16 Rahmiye Mah. Kartepe;Biberoglu Mah. Izmit;2020-08-27 11:12:59.820000000;2020-08-27 11:54:19.780000000;41T4007 ;100;40,725034;30,005596;40,808322;30,091934;True;False;True
4601;38;241;Sakip Sabanci Caddesi 141 Dumlupinar Mah. Kartepe;Seyrantepe Sokak 2 Hisareyn Merkez Mah. Gölcük;2020-08-27 11:15:17.870000000;2020-08-27 11:35:42.723000000;41T4065 ;83;40,754908;30,015609;40,697159;29,85684;True;False;True
4602;41;372;Kiliç Sokak 18 Yaylacik Mah. Basiskele;  Irsadiye Mah. Gölcük;2020-08-27 11:17:43.953000000;2020-08-27 11:37:10.013000000;41T4103 ;84;40,728314;29,98054;40,617216;29,886169;True;False;True
4603;46;125;  Köseköy Mah. Kartepe;Yunus Emre Caddesi 98 Barbaros Mah. Basiskele;2020-08-27 11:20:17.830000000;2020-08-27 11:35:42.127000000;41T4085 ;12;40,743579;29,998168;40,707756;29,937195;True;False;True
4604;47;170;Üresin Sokak 1 Fatih Sultan Mehmet Mah. Kartepe;Ketenciler Mah. Kartepe;2020-08-27 11:20:55.597000000;2020-08-27 11:45:01.730000000;41T4032 ;70;40,747293;30,011713;40,756955;30,15592;True;False;True
4605;48;327;  Alikahya Atatürk Mah. Izmit;Kaymaz Erikli Mah. Kandira;2020-08-27 11:21:28.393000000;2020-08-27 11:07:54.440000000;41T4011 ;150;40,788397;30,027915;40,931102;30,162251;True;False;True
4606;49;359;Dervisoglu Sokak 11 Kullar Yakacik Mah. Basiskele;Ataç Sokak 12 Ataevler Mah. Kartepe;2020-08-27 11:21:51.863000000;2020-08-27 11:39:20.013000000;41T4061 ;46;40,721184;29,980401;40,74346;30,036232;True;False;True
4607;50;294;  Rahmiye Mah. Kartepe;41-25  Sapakpinar Mah. Izmit;2020-08-27 11:22:17.723000000;2020-08-27 11:51:41.123000000;41T4027 ;100;40,715247;30,006199;40,816046;30,171442;True;False;True
4608;51;417;Salim Dervisoglu Caddesi 332 Ovacik Mah. Basiskele;Bayraktar Mah. Izmit;2020-08-27 11:22:58.023000000;2020-08-27 11:40:10.123000000;41T4108 ;60;40,747286;29,986878;40,78187;30,076495;True;False;True
4609;52;334;Izmit Caddesi 324 Rahmiye Mah. Kartepe;Armutlu Sokak 15 Alikahya Fatih Mah. Izmit;2020-08-27 11:23:38.720000000;2020-08-27 11:38:24.423000000;41T4058 ;35;40,723158;30,010387;40,771808;29,994635;True;False;True
4610;53;131;Ankara Caddesi  Köseköy Mah. Kartepe;Mahmut Çavus Caddesi 21 Körfez Mah. Basiskele;2020-08-27 11:24:15.377000000;2020-08-27 11:40:19.730000000;41T4057 ;60;40,753909;29,995296;40,70649;29,922006;True;False;True
4611;54;378;Turnaoglu Caddesi 75 Alikahya Atatürk Mah. Izmit;Cami Karsi Sokak 6 Damlar Mah. Basiskele;2020-08-27 11:24:33.660000000;2020-08-27 11:44:13.427000000;41T4024 ;65;40,774485;30,022102;40,697525;29,917963;True;False;True
4612;57;273;Dolunay Sokak 17–19 Fatih Sultan Mehmet Mah. Kartepe;Yasam Sokak 1–11 Erenler Mah. Izmit;2020-08-27 11:25:17.817000000;2020-08-27 11:40:16.497000000;41T4022 ;40;40,747214;30,024062;40,771948;29,943049;True;False;True
4613;58;160;Sehit Turgut Çiçek Caddesi 4 Ertugul Gazi Mah. Kartepe;Yazgan Sokak 23 Yesilyurt Mah. Basiskele;2020-08-27 11:25:57.833000000;2020-08-27 11:40:17.400000000;41T4080 ;50;40,757533;30,024544;40,714685;29,950465;True;False;True
4614;61;378;  Köseköy Mah. Kartepe;D-130 Karayolu Cd. 34 Seymen Mah. Basiskele;2020-08-27 11:26:25.083000000;2020-08-27 11:40:19.403000000;41T4087 ;60;40,75209;30,003908;40,710061;29,904563;True;False;True
4615;37;168;  Ovacik Mah. Basiskele;Kurtdere Mah. Izmit;2020-08-27 11:26:54.897000000;2020-08-27 11:57:16.497000000;41T4007 ;110;40,736573;29,983262;40,77466;30,168217;True;False;True
4616;38;150;Cumhuriyet Caddesi 100 Uzunbey Mah. Kartepe;Çubukluosmaniye Mah. Izmit;2020-08-27 11:27:34.070000000;2020-08-27 11:56:30.300000000;41T4065 ;100;40,760557;30,047165;40,856218;30,046831;True;False;True
4617;41;162;Kuzey Marmara Otoyolu  Durhasan Mah. Izmit;Ketenciler Mah. Kartepe;2020-08-27 11:28:12.557000000;2020-08-27 11:59:13.420000000;41T4103 ;100;40,79267;30,037776;40,756071;30,121595;True;False;True
4618;46;368;  Uzunbey Mah. Kartepe;Yuvacik Yakacik Mah. Basiskele;2020-08-27 11:28:31.307000000;2020-08-27 11:52:43.107000000;41T4085 ;70;40,773158;30,059236;40,67227;29,990542;True;False;True
4619;47;231;1. Cadde  Alikahya Atatürk Mah. Izmit;Gürgenli Yakup Sok 9 Damlar Mah. Basiskele;2020-08-27 11:28:55.230000000;2020-08-27 11:53:49.403000000;41T4032 ;80;40,7743;30,046817;40,688187;29,919123;True;False;True
4620;48;160;  Alikahya Atatürk Mah. Izmit;Sehitlik Sokak 30 Mehmetaga Mah. Basiskele;2020-08-27 11:30:35.043000000;2020-08-27 11:52:50.187000000;41T4011 ;57;40,784319;30,028919;40,72756;29,98605;True;False;True
4621;49;298;Birinci Sokak 20 Yaylacik Mah. Basiskele;Kocaeli-Sakarya Yolu 197 Uzunçiftlik Mah. Kartepe;2020-08-27 11:31:39.703000000;2020-08-27 11:48:16.727000000;41T4061 ;58;40,721816;29,979215;40,744871;30,078779;True;False;True
4622;50;430;Reform Caddesi 58 Uzunbey Mah. Kartepe;Durhasan Mah. Izmit-süre:23;2020-08-27 11:32:08.873000000;2020-08-27 11:55:52.013000000;41T4027 ;55;40,763154;30,05174;40,790378;30,040709;True;False;True
4623;51;421;Bahar Sokak 56–96 Eseler Mah. Izmit;Ortaburun Merkez Mevkii Küme Evleri 79–88 Ortaburun Mah. Izmit;2020-08-27 11:33:34.957000000;2020-08-27 12:02:13.467000000;41T4108 ;70;40,779263;30,06516;40,790568;30,193099;True;False;True
4624;52;426;Dereboyu Sokak 37 Mehmetaga Mah. Basiskele;Engin Sokak 33 Ovacik Mah. Basiskele;2020-08-27 11:34:14.533000000;2020-08-27 11:56:15.643000000;41T4058 ;12;40,728069;29,99077;40,72609;30,004864;True;False;True
4625;53;250;  Durhasan Mah. Izmit;Muhacir Sokak 16–38 Mehmetaga Mah. Basiskele;2020-08-27 11:34:38.737000000;2020-08-27 11:54:24.247000000;41T4057 ;50;40,782395;30,055149;40,729056;29,986867;True;False;True
4626;54;358;Alsancak Caddesi 217 Ovacik Mah. Basiskele;Hamdi Tasdemir Caddesi 102–282 Yuvacik Yakacik Mah. Basiskele;2020-08-27 11:35:20.300000000;2020-08-27 11:54:05.250000000;41T4024 ;45;40,741768;29,981439;40,661909;29,95853;True;False;True
4627;57;352;2. Cadde  Alikahya Atatürk Mah. Izmit;Eseler Mah. Izmit;2020-08-27 11:36:00.723000000;2020-08-27 12:02:32.360000000;41T4022 ;55;40,771912;30,036082;40,783628;30,070456;True;False;True
4629;61;301;  Rahmiye Mah. Kartepe;Kevser Caddesi 49 Hisareyn Merkez Mah. Gölcük;2020-08-27 11:36:34.287000000;2020-08-27 11:50:34.943000000;41T4087 ;71;40,71553;30,00099;40,693284;29,861051;True;False;True
4630;37;374;Veysel Karani Caddesi 150 Rahmiye Mah. Kartepe;Salim Dervisoglu Caddesi  Cumhuriyet Mah. Izmit;2020-08-27 11:37:10.087000000;2020-08-27 12:03:26.657000000;41T4007 ;68;40,719742;30,02763;40,759664;29,88758;True;False;True
4631;38;155;Sonmez Sok 31 Köseköy Mah. Kartepe;  Eseler Mah. Izmit;2020-08-27 11:37:40.010000000;2020-08-27 11:54:04.563000000;41T4065 ;47;40,746286;30,003174;40,776411;30,064538;True;False;True
4632;41;148;Solaklar Mevkii Küme Evleri 42B Durhasan Mah. Izmit;Sanayici Caddesi 81 Dumlupinar Mah. Kartepe;2020-08-27 11:38:02.727000000;2020-08-27 11:56:46.520000000;41T4103 ;46;40,796876;30,037395;40,761981;29,997786;True;False;True
4633;46;151;  Alikahya Atatürk Mah. Izmit;Yuvacik Yakacik Mah. Basiskele;2020-08-27 11:38:50.527000000;2020-08-27 12:09:16.427000000;41T4085 ;75;40,77974;30,044961;40,679708;29,986085;True;False;True
4634;47;164;  Alikahya Atatürk Mah. Izmit;Izmit Sanayi Sitesi 1 Cad 201 Sanayi Mah. Izmit;2020-08-27 11:39:27.027000000;2020-08-27 12:02:34.367000000;41T4032 ;65;40,786599;30,038106;40,746987;29,952261;True;False;True
4635;48;393;Solaklar Mevkii Küme Evleri  Alikahya Atatürk Mah. Izmit;D-130 Karayolu Cd. 76 Mahmutpasa Mah. Basiskele;2020-08-27 11:39:46.760000000;2020-08-27 11:59:21.137000000;41T4011 ;60;40,79062;30,031852;40,731105;29,956572;True;False;True
4636;49;273;Aydin Sokak 3 Ertugul Gazi Mah. Kartepe;  Alikahya Atatürk Mah. Izmit;2020-08-27 11:40:18.777000000;2020-08-27 12:03:21.520000000;41T4061 ;65;40,753382;30,039632;40,787757;30,017654;True;False;True
4637;50;365;Cumhuriyet Caddesi 23 Dogantepe Mah. Basiskele;  Karaabdülbaki Mah. Izmit;2020-08-27 11:41:01.920000000;2020-08-27 12:07:06.427000000;41T4027 ;102;40,709661;29,999763;40,79983;30,165772;True;False;True
4638;51;157;Incir Kökü Sokak 3–15 Yaylacik Mah. Basiskele;Somuncu Baba Sokak 1 Serdar Mah. Basiskele;2020-08-27 11:41:41.983000000;2020-08-27 11:50:40.123000000;41T4108 ;24;40,727571;29,983445;40,709681;29,944207;True;False;True
4639;52;159;Güvener Sokak 5 Rahmiye Mah. Kartepe;  Havuzlubahçe Mah. Basiskele;2020-08-27 11:42:03.357000000;2020-08-27 12:21:42.190000000;41T4058 ;77;40,725532;30,01732;40,671531;29,893946;True;False;True
4640;53;170;Akik Sokak 21 Ovacik Mah. Basiskele;Gazi Sokak 14 Fatih Sultan Mehmet Mah. Kartepe;2020-08-27 11:42:33.093000000;2020-08-27 11:56:23.427000000;41T4057 ;30;40,730954;29,994261;40,737723;30,038156;True;False;True
4641;54;314;Basyigit Caddesi 142-3 Karadenizliler Mah. Basiskele;  Eseler Mah. Izmit;2020-08-27 11:43:23.390000000;2020-08-27 12:22:12.427000000;41T4024 ;78;40,73565;29,979166;40,787252;30,057127;True;False;True
4642;57;390;Turan Günes Caddesi  Uzunbey Mah. Kartepe;  Hisareyn Merkez Mah. Gölcük;2020-08-27 11:43:49.940000000;2020-08-27 12:07:43.457000000;41T4022 ;100;40,763391;30,037473;40,693168;29,854226;True;False;True
4643;58;154;Incirdibi Sokak 13 Mehmetaga Mah. Basiskele;    Emekevler Mah. Kartepe;2020-08-27 11:44:22.563000000;2020-08-27 11:59:05.413000000;41T4080 ;54;40,72551;29,986739;40,742192;30,08179;True;False;True
4644;61;193;Alçipan Sokak  Ovacik Mah. Basiskele;    Pasadag Mah. Basiskele;2020-08-27 11:44:42.237000000;2020-08-27 11:55:11.427000000;41T4087 ;29;40,751809;29,985903;40,704591;29,983591;True;False;True
4645;37;348;Bahar Sokak 7 Eseler Mah. Izmit;   Dagköy Mah. Izmitt;2020-08-27 11:45:26.143000000;2020-08-27 12:10:13.653000000;41T4007 ;54;40,791587;30,058418;40,815379;30,091235;True;False;True
4646;38;158;  Alikahya Atatürk Mah. Izmit;  Balaban Sokak 24 Fatih Sultan Mehmet Mah. Kartepe;2020-08-27 11:46:02.240000000;2020-08-27 12:01:14.123000000;41T4065 ;36;40,771389;30,038938;40,73747;30,017598;True;False;True
4647;41;224;1. Cadde  Alikahya Atatürk Mah. Izmit;  Tabiat Sokak 16 Rahmiye Mah. Kartepe;2020-08-27 11:50:02.747000000;2020-08-27 12:12:16.753000000;41T4103 ;50;40,773895;30,045654;40,711355;30,015063;True;False;True
4648;46;171;  Uzunbey Mah. Kartepe;  Bahardali Sokak 6 Yahyakaptan Mah. Izmit;2020-08-27 11:50:22.573000000;2020-08-27 12:04:54.163000000;41T4085 ;44;40,770193;30,056574;40,763876;29,979747;True;False;True
4649;47;198;Turnaoglu Caddesi 231 Alikahya Atatürk Mah. Izmit; Yarisalani Caddesi 62B Kullar Yakacik Mah. Basiskele;2020-08-27 11:50:39.217000000;2020-08-27 12:11:40.163000000;41T4032 ;50;40,777956;30,043863;40,718752;29,980807;True;False;True
4650;48;130;  Rahmiye Mah. Kartepe;   Serdar Mah. Basiskele;2020-08-27 11:51:18.950000000;2020-08-27 12:08:15.437000000;41T4011 ;41;40,717759;30,009018;40,716121;29,941058;True;False;True
4651;49;388;Yayla Sokak 6 Köseköy Mah. Kartepe;Aloz Ali Sokak 21 Yesilyurt Mah. Basiskele;2020-08-27 11:51:53.780000000;2020-08-27 12:05:42.147000000;41T4061 ;36;40,742757;30,008747;40,716454;29,951533;True;False;True
4652;50;193;Akif Sokak 13 Rahmiye Mah. Kartepe; Topallar Caddesi 77 Köseköy Mah. Kartepe;2020-08-27 11:52:13.733000000;2020-08-27 12:00:36.460000000;41T4027 ;20;40,713637;30,017912;40,73124;30,003414;True;False;True
4653;51;374;Lale Sokak 5 Istasyon Mah. Kartepe;     Rahmiye Mah. Kartepe;2020-08-27 11:52:30.893000000;2020-08-27 12:03:14.457000000;41T4108 ;31;40,751979;30,018778;40,712432;30,006962;True;False;True
4654;52;235;Ankara Caddesi  Köseköy Mah. Kartepe;     Bayraktar Mah. Izmit;2020-08-27 11:52:54.750000000;2020-08-27 12:12:16.543000000;41T4058 ;54;40,75465;30,003075;40,770324;30,11125;True;False;True
4655;53;191;Çinarcik Sokak 28 Mehmetaga Mah. Basiskele;     Tepecik Mah. Basiskele;2020-08-27 11:53:17.893000000;2020-08-27 12:01:12.417000000;41T4057 ;18;40,726192;29,994106;40,711747;29,99412;True;False;True
4656;54;268;Beray Sokak 62 Kullar Yakacik Mah. Basiskele;  Karamürsel Caddesi  Yaylacik Mah. Basiskele;2020-08-27 11:53:34.627000000;2020-08-27 12:00:02.103000000;41T4024 ;16;40,719153;29,978681;40,7317;29,969811;True;False;True
4657;57;287;Süleymaniye Caddesi 22 Rahmiye Mah. Kartepe;  Hürler Caddesi 99 Fatih Mah. Basiskele;2020-08-27 11:54:47.113000000;2020-08-27 12:08:16.427000000;41T4022 ;33;40,712466;30,012449;40,695563;29,967833;True;False;True
4658;58;180;  Ovacik Mah. Basiskele;  Baglar Caddesi 92 Fatih Mah. Basiskele;2020-08-27 11:55:33.223000000;2020-08-27 12:04:54.163000000;41T4080 ;27;40,736176;29,982812;40,692088;29,970611;True;False;True
4659;61;240;Kore Caddesi 25 Alikahya Atatürk Mah. Izmit; Kullar Cad 297 Karadenizliler Mah. Basiskele;2020-08-27 12:00:51.920000000;2020-08-27 12:14:13.427000000;41T4087 ;42;40,774403;30,028927;40,746242;29,971539;True;False;True
4660;37;188;Dogantepe Vatan Cad 109 Dogantepe Mah. Basiskele;    Dumlupinar Mah. Kartepe;2020-08-27 12:01:12.653000000;2020-08-27 12:16:32.163000000;41T4007 ;38;40,7093;30,009454;40,761981;30,006887;True;False;True
4661;38;378;Sehitler Caddesi 38 Ertugul Gazi Mah. Kartepe;Türkler Sokak 4 Yesilyurt Mah. Basiskele;2020-08-27 12:01:38.483000000;2020-08-27 12:15:40.147000000;41T4065 ;54;40,752425;30,038739;40,721985;29,966257;True;False;True
4662;41;306;Millet Caddesi 24–26 Dumlupinar Mah. Kartepe;  Karadenizliler Mah. Basiskele;2020-08-27 12:02:05.140000000;2020-08-27 12:12:15.523000000;41T4103 ;40;40,752823;30,029949;40,745432;29,968939;True;False;True
4663;46;187;Dut Sokak 8 Rahmiye Mah. Kartepe;Kanalyolu Caddesi 129-3 Mahmutpasa Mah. Basiskele;2020-08-27 12:02:21.327000000;2020-08-27 12:12:34.653000000;41T4085 ;28;40,713987;30,009821;40,733523;29,96151;True;False;True
4664;47;403;Turnaoglu Caddesi 227 Alikahya Atatürk Mah. Izmit;Yeni Yol Caddesi 15 Ovacik Mah. Basiskele;2020-08-27 12:02:36.703000000;2020-08-27 12:27:34.517000000;41T4032 ;52;40,784645;30,039762;40,730691;29,993158;True;False;True
4665;48;331;  Ovacik Mah. Basiskele;Yeni Demiryolu Caddesi 56 Köseköy Mah. Kartepe;2020-08-27 12:02:51.907000000;2020-08-27 12:08:42.427000000;41T4011 ;17;40,738352;29,988258;40,74956;30,006968;True;False;True
4666;49;199;  Ovacik Mah. Basiskele;Barbaros Caddesi 70 Karadenizliler Mah. Basiskele;2020-08-27 12:03:07.500000000;2020-08-27 12:12:15.247000000;41T4061 ;18;40,73076;29,997079;40,738341;29,97035;True;False;True
4667;50;390;Alemdar Caddesi 19 Fatih Sultan Mehmet Mah. Kartepe;  Dogantepe Mah. Basiskele;2020-08-27 12:03:23.923000000;2020-08-27 12:24:15.850000000;41T4027 ;53;40,732817;30,026841;40,670313;30,003364;True;False;True
4668;51;193;Samyeli Sokak 7 Köseköy Mah. Kartepe;Mevlana Caddesi 24 Dogantepe Mah. Basiskele;2020-08-27 12:03:42.720000000;2020-08-27 12:17:54.163000000;41T4108 ;33;40,734911;30,002933;40,686125;30,001508;True;False;True
4670;52;179;Mehmet Akif Caddesi 21 Rahmiye Mah. Kartepe;Fevzi Pasa Caddesi 94 Yesilyurt Mah. Basiskele;2020-08-27 12:07:16.007000000;2020-08-27 12:27:32.163000000;41T4058 ;40;40,718516;30,013134;40,715067;29,928326;True;False;True
4671;53;200;Kore Caddesi 16 Alikahya Atatürk Mah. Izmit;Fevzi Pasa Caddesi 94 Yesilyurt Mah. Basiskele;2020-08-27 12:07:34.463000000;2020-08-27 12:27:40.147000000;41T4057 ;59;40,77463;30,033652;40,72058;29,959953;True;False;True
4672;54;253;  Uzunbey Mah. Kartepe;Ezgi Sokak  Ovacik Mah. Basiskele;2020-08-27 12:07:53.807000000;2020-08-27 12:25:15.523000000;41T4024 ;53;40,767239;30,067796;40,738584;29,991565;True;False;True
